15365,13695,-,21557,19887,-
38601,37021,-,44724,43144,-
111755,110727,-,134808,133780,-
113036,111906,-,136088,134958,-
32667,33665,+,39650,40648,+
26923,27723,+,32890,33690,+
51632,51000,-,148578,149210,+
124523,125155,+,148578,149210,+
62784,62023,-,93030,93791,+
51630,51001,-,148580,149209,+
124525,125154,+,148580,149209,+
19301,18522,-,25539,24760,-
27781,28575,+,33748,34542,+
125175,124522,-,149230,148577,-
50980,51633,+,149230,148577,-
86151,85207,-,54739,55683,+
125152,124631,-,149207,148686,-
51003,51524,+,149207,148686,-
113978,113460,-,137036,136518,-
13831,14526,+,20023,20718,+
40811,41491,+,47179,47859,+
51631,50984,-,148579,149226,+
124524,125171,+,148579,149226,+
8600,9250,+,12112,12762,+
124904,124524,-,148959,148579,-
51251,51631,+,148959,148579,-
74718,75221,+,77686,77183,-
108826,108230,-,131747,131151,-
27719,26916,-,33686,32883,-
811,1395,+,784,1368,+
114839,114480,-,137903,137544,-
45315,45965,+,51965,52615,+
8183,7761,-,11849,11427,-
7455,7027,-,11124,10696,-
50982,50602,-,149229,149609,+
125173,125553,+,149229,149609,+
50981,50601,-,149230,149610,+
125174,125554,+,149230,149610,+
44792,45277,+,51465,51950,+
93139,92588,-,114543,113992,-
125552,125172,-,149608,149228,-
50603,50983,+,149608,149228,-
33469,32849,-,40452,39832,-
111937,112662,+,134989,135714,+
2467,2982,+,2469,2984,+
28,552,+,4,528,+
47885,47469,-,152530,152946,+
128270,128686,+,152530,152946,+
82522,81983,-,58220,58759,+
128694,128227,-,152954,152487,-
47461,47928,+,152954,152487,-
125553,125221,-,149609,149277,-
50602,50934,+,149609,149277,-
47895,47485,-,152520,152930,+
128260,128670,+,152520,152930,+
28421,27792,-,34388,33759,-
128708,128268,-,152968,152528,-
47447,47887,+,152968,152528,-
119039,118641,-,142284,141886,-
125527,125231,-,149583,149287,-
50628,50924,+,149583,149287,-
54346,53834,-,103966,104478,+
113467,113958,+,136525,137016,+
106070,105702,-,129011,128643,-
72322,71792,-,82867,83397,+
42626,43111,+,49292,49777,+
14587,14925,+,20779,21117,+
48396,48133,-,152023,152286,+
127759,128022,+,152023,152286,+
128025,127762,-,152289,152026,-
48130,48393,+,152289,152026,-
18715,19302,+,24953,25540,+
136168,136701,+,165363,165896,+
116490,116119,-,139771,139400,-
37856,38320,+,43979,44443,+
127746,127504,-,152004,151762,-
48409,48651,+,152004,151762,-
114393,114001,-,137446,137054,-
48392,48102,-,152027,152317,+
127763,128053,+,152027,152317,+
81413,81637,+,59389,59165,-
48703,48410,-,151710,152003,+
127452,127745,+,151710,152003,+
108243,108797,+,131164,131718,+
41376,40822,-,47744,47190,-
48677,48405,-,151736,152008,+
127478,127750,+,151736,152008,+
128024,127788,-,152288,152052,-
48131,48367,+,152288,152052,-
20522,20118,-,26745,26341,-
14986,15363,+,21178,21555,+
128701,128402,-,152961,152662,-
47454,47753,+,152961,152662,-
48702,48400,-,151711,152013,+
127453,127755,+,151711,152013,+
127736,127452,-,151994,151710,-
48419,48703,+,151994,151710,-
38928,38647,-,45069,44788,-
9365,9811,+,12883,13329,+
76634,76176,-,73610,74068,+
111451,111693,+,134504,134746,+
13145,12717,-,19269,18841,-
106771,106517,-,129721,129467,-
48391,48131,-,152028,152288,+
127764,128024,+,152028,152288,+
40037,40270,+,46396,46629,+
16113,16583,+,22335,22805,+
45204,44842,-,51877,51515,-
7762,8160,+,11428,11826,+
117372,117082,-,140638,140348,-
43730,44149,+,50402,50821,+
95341,94844,-,116773,116276,-
47755,47453,-,152660,152962,+
128400,128702,+,152660,152962,+
118548,118111,-,141802,141365,-
110127,109843,-,133135,132851,-
81978,82508,+,58764,58234,-
127705,127481,-,151963,151739,-
48450,48674,+,151963,151739,-
35094,34615,-,42178,41699,-
81618,81412,-,59184,59390,+
50980,50777,-,149231,149434,+
125175,125378,+,149231,149434,+
103454,103101,-,126347,125994,-
110728,110988,+,133781,134041,+
14586,15194,+,20778,21386,+
105703,106071,+,128644,129012,+
71554,71291,-,83638,83901,+
62024,62398,+,93790,93416,-
6948,6643,-,10602,10297,-
9132,8608,-,12644,12120,-
116186,116494,+,139467,139775,+
98563,98186,-,120153,119776,-
119519,119280,-,142761,142522,-
40316,40639,+,46681,47004,+
118660,119037,+,141905,142282,+
13698,14525,+,19890,20717,+
60465,60154,-,95376,95687,+
104391,103867,-,127308,126784,-
2906,2556,-,2908,2558,-
60144,59797,-,95700,96047,+
44540,44776,+,51210,51446,+
97411,97160,-,118917,118666,-
128890,128690,-,153151,152951,-
47265,47465,+,153151,152951,-
115050,114847,-,138121,137918,-
44312,44491,+,50982,51161,+
50291,50034,-,149954,150211,+
125864,126121,+,149954,150211,+
50043,49843,-,150201,150401,+
126112,126312,+,150201,150401,+
120977,120741,-,144348,144112,-
111372,111752,+,134425,134805,+
112717,113034,+,135769,136086,+
101292,101017,-,123112,122837,-
128273,128061,-,152534,152322,-
47882,48094,+,152534,152322,-
48093,47890,-,152323,152526,+
128062,128265,+,152323,152526,+
61613,61272,-,94207,94548,+
1370,1107,-,1343,1080,-
127915,127763,-,152179,152027,-
48240,48392,+,152179,152027,-
39053,39358,+,45412,45717,+
13394,13206,-,19527,19339,-
126271,126122,-,150360,150211,-
49884,50033,+,150360,150211,-
117639,117472,-,140887,140720,-
1583,1753,+,1569,1739,+
109721,109425,-,132644,132348,-
126442,126275,-,150532,150365,-
49713,49880,+,150532,150365,-
47465,47265,-,152951,153151,+
128690,128890,+,152951,153151,+
48094,47900,-,152322,152516,+
128061,128255,+,152322,152516,+
120215,120006,-,143550,143341,-
71934,72326,+,83255,82863,-
58074,58406,+,97880,97548,-
106524,106823,+,129474,129773,+
128266,128060,-,152527,152321,-
47889,48095,+,152527,152321,-
2014,2250,+,2007,2243,+
38378,38602,+,44501,44725,+
20111,19833,-,26337,26059,-
108150,107938,-,131082,130870,-
101443,101291,-,123273,123121,-
56583,56894,+,99477,99166,-
111037,111264,+,134090,134317,+
7028,7267,+,10697,10936,+
107123,106959,-,130065,129901,-
37556,37795,+,43679,43918,+
38020,38601,+,44143,44724,+
50032,49877,-,150212,150367,+
126123,126278,+,150212,150367,+
47463,47263,-,152953,153153,+
128692,128892,+,152953,153153,+
4135,3887,-,7407,7159,-
114487,114747,+,137551,137811,+
105597,105331,-,128523,128257,-
123788,123558,-,147648,147418,-
31342,31632,+,37726,38016,+
128889,128692,-,153150,152953,-
47266,47463,+,153150,152953,-
102369,102181,-,124227,124039,-
50259,50044,-,149986,150201,+
125896,126111,+,149986,150201,+
116010,115825,-,139297,139112,-
37229,37450,+,43352,43573,+
102048,101719,-,123900,123571,-
126109,125864,-,150199,149954,-
50046,50291,+,150199,149954,-
128891,128691,-,153152,152952,-
47264,47464,+,153152,152952,-
120635,120348,-,143976,143689,-
50030,49872,-,150214,150372,+
126125,126283,+,150214,150372,+
102856,102698,-,125726,125568,-
126282,126115,-,150371,150204,-
49873,50040,+,150371,150204,-
46155,46325,+,52808,52978,+
62453,62719,+,93361,93095,-
50299,50045,-,149946,150200,+
125856,126110,+,149946,150200,+
12721,13068,+,18845,19192,+
67972,67700,-,89856,90128,+
107573,107193,-,130515,130135,-
116976,116554,-,140230,139808,-
101034,100846,-,122800,122612,-
18500,18306,-,24732,24538,-
94803,94558,-,116217,115972,-
126108,125896,-,150198,149986,-
50047,50259,+,150198,149986,-
109841,110065,+,132849,133073,+
29759,30073,+,36171,36485,+
85517,85957,+,55373,54933,-
111866,111756,-,134922,134812,-
62023,62283,+,93791,93531,-
101295,101450,+,123125,123280,+
125153,124953,-,149208,149008,-
51002,51202,+,149208,149008,-
25860,26072,+,31805,32017,+
41522,41707,+,47893,48078,+
119317,119514,+,142559,142756,+
49889,49704,-,150356,150541,+
126266,126451,+,150356,150541,+
12674,12510,-,18795,18631,-
126314,126123,-,150403,150212,-
49841,50032,+,150403,150212,-
126450,126277,-,150540,150367,-
49705,49878,+,150540,150367,-
111684,111373,-,134737,134426,-
113258,113085,-,136316,136143,-
43310,43612,+,49982,50284,+
115805,116008,+,139092,139295,+
110931,111233,+,133984,134286,+
27567,27160,-,33534,33127,-
63966,63814,-,92251,92403,+
118220,118555,+,141474,141809,+
49358,49236,-,150883,151005,+
126797,126919,+,150883,151005,+
101629,101498,-,123459,123328,-
20743,20856,+,26995,27108,+
34037,34249,+,41038,41250,+
126921,126784,-,151007,150870,-
49234,49371,+,151007,150870,-
42954,42799,-,49620,49465,-
18810,19124,+,25048,25362,+
117906,117670,-,141160,140924,-
111225,110797,-,134278,133850,-
122671,122477,-,145925,145731,-
49878,49717,-,150367,150528,+
126277,126438,+,150367,150528,+
110568,110386,-,133612,133430,-
49729,49589,-,150514,150654,+
126426,126566,+,150514,150654,+
37564,37938,+,43687,44061,+
44571,44344,-,51241,51014,-
117185,117355,+,140451,140621,+
50570,50463,-,149642,149749,+
125585,125692,+,149642,149749,+
1755,1582,-,1741,1568,-
53991,54341,+,104321,103971,-
73865,73656,-,78434,78643,+
71743,71588,-,83443,83598,+
114065,114406,+,137118,137459,+
95569,95402,-,117013,116846,-
32493,32663,+,39479,39649,+
49712,49593,-,150531,150650,+
126443,126562,+,150531,150650,+
126059,125862,-,150149,149952,-
50096,50293,+,150149,149952,-
125692,125594,-,149749,149651,-
50463,50561,+,149749,149651,-
101051,101281,+,122871,123101,+
16665,16925,+,22893,23153,+
41341,41048,-,47709,47416,-
114860,115042,+,137931,138113,+
117449,117640,+,140697,140888,+
104638,104423,-,127581,127366,-
99690,99460,-,121285,121055,-
70003,69800,-,86654,86857,+
97827,97603,-,119406,119182,-
109504,109695,+,132427,132618,+
8333,8229,-,11999,11895,-
126563,126444,-,150651,150532,-
49592,49711,+,150651,150532,-
126561,126442,-,150649,150530,-
49594,49713,+,150649,150530,-
125693,125592,-,149750,149649,-
50462,50563,+,149750,149649,-
70556,70323,-,86081,86314,+
126740,126639,-,150827,150726,-
49415,49516,+,150827,150726,-
74186,73905,-,78113,78394,+
92679,92906,+,114083,114310,+
35774,35601,-,42817,42644,-
97123,96923,-,118626,118426,-
102173,102361,+,124031,124219,+
16444,16151,-,22666,22373,-
75065,74781,-,77339,77623,+
44067,43909,-,50739,50581,-
113462,113205,-,136517,136260,-
96064,95876,-,117522,117334,-
57912,58067,+,98048,97893,-
1424,1546,+,1398,1520,+
59801,60022,+,96043,95822,-
107866,107582,-,130810,130526,-
108281,108493,+,131202,131414,+
49357,49238,-,150884,151003,+
126798,126917,+,150884,151003,+
115296,115114,-,138367,138185,-
98875,98759,-,120465,120349,-
125664,125551,-,149721,149608,-
50491,50604,+,149721,149608,-
45940,45701,-,52590,52351,-
619,741,+,595,717,+
126562,126440,-,150650,150528,-
49593,49715,+,150650,150528,-
100213,100046,-,121947,121780,-
96771,96607,-,118270,118106,-
70820,70671,-,85814,85963,+
113520,113732,+,136578,136790,+
26810,26565,-,32776,32531,-
26665,26811,+,32631,32777,+
100690,100439,-,122421,122170,-
50563,50474,-,149649,149738,+
125592,125681,+,149649,149738,+
126917,126798,-,151003,150884,-
49238,49357,+,151003,150884,-
21844,21957,+,28120,28233,+
41706,41530,-,48077,47901,-
20855,20742,-,27107,26994,-
111640,111374,-,134693,134427,-
38717,38929,+,44858,45070,+
39746,39889,+,46102,46245,+
58676,58846,+,97220,97050,-
49505,49416,-,150737,150826,+
126650,126739,+,150737,150826,+
6208,6396,+,10008,10196,+
7150,7389,+,10819,11058,+
126739,126650,-,150826,150737,-
49416,49505,+,150826,150737,-
37043,37141,+,43166,43264,+
103083,102901,-,125962,125780,-
62218,62045,-,93596,93769,+
49507,49415,-,150735,150827,+
126648,126740,+,150735,150827,+
6028,6189,+,9831,9992,+
98304,98567,+,119894,120157,+
49371,49279,-,150870,150962,+
126784,126876,+,150870,150962,+
49515,49414,-,150727,150828,+
126640,126741,+,150727,150828,+
48801,48718,-,151578,151661,+
127354,127437,+,151578,151661,+
106963,107127,+,129905,130069,+
19784,19635,-,26010,25861,-
81961,81851,-,58775,58885,+
92961,93065,+,114365,114469,+
33497,33216,-,40480,40199,-
40623,40390,-,46988,46755,-
50562,50479,-,149650,149733,+
125593,125676,+,149650,149733,+
2153,2013,-,2146,2006,-
32239,32358,+,38656,38775,+
102138,102052,-,123994,123908,-
96387,96295,-,117889,117797,-
79132,79266,+,68646,68512,-
35415,35299,-,42502,42386,-
114540,114758,+,137604,137822,+
126907,126812,-,150993,150898,-
49248,49343,+,150993,150898,-
40655,40741,+,47023,47109,+
81204,81359,+,59616,59461,-
107954,108121,+,130886,131053,+
7782,8111,+,11448,11777,+
40146,40003,-,46505,46362,-
127446,127357,-,151670,151581,-
48709,48798,+,151670,151581,-
56910,57161,+,99147,98896,-
38392,38126,-,44515,44249,-
112557,112757,+,135609,135809,+
50689,50603,-,149522,149608,+
125466,125552,+,149522,149608,+
62530,62784,+,93284,93030,-
81029,81172,+,59803,59660,-
85166,85453,+,55724,55437,-
127448,127359,-,151672,151583,-
48707,48796,+,151672,151583,-
124389,124291,-,148396,148298,-
51766,51864,+,148396,148298,-
112759,112580,-,135811,135632,-
124389,124291,-,53676,53774,+
51766,51864,+,53676,53774,+
78197,78051,-,71151,71297,+
108840,108962,+,131764,131886,+
19562,19416,-,25788,25642,-
14320,13865,-,20512,20057,-
8157,7861,-,11823,11527,-
1347,1108,-,1320,1081,-
58559,58681,+,97340,97218,-
60305,60451,+,95536,95390,-
74556,74687,+,77842,77711,-
31631,31431,-,38015,37815,-
117136,117366,+,140402,140632,+
7450,7178,-,11119,10847,-
128023,127958,-,152287,152222,-
48132,48197,+,152287,152222,-
26105,26215,+,32056,32166,+
33183,33410,+,40427,40654,+
39437,39568,+,45790,45921,+
110688,110822,+,133741,133875,+
111757,111867,+,134813,134923,+
2227,2322,+,2217,2312,+
32098,32187,+,38509,38598,+
33462,33674,+,40184,40396,+
44760,44599,-,51430,51269,-
41834,42070,+,48238,48474,+
94893,95078,+,116325,116510,+
51863,51765,-,53773,53675,-
124292,124390,+,53773,53675,-
51863,51765,-,148299,148397,+
124292,124390,+,148299,148397,+
47999,47889,-,152417,152527,+
128156,128266,+,152417,152527,+
101499,101630,+,123329,123460,+
12511,12675,+,18632,18796,+
129584,129480,-,53182,53286,+
46571,46675,+,53182,53286,+
67788,67970,+,90040,89858,-
59733,59578,-,96111,96266,+
119304,119513,+,142546,142755,+
120412,120546,+,143753,143887,+
71589,71729,+,83597,83457,-
95958,96068,+,117416,117526,+
97221,97328,+,118727,118834,+
96561,96460,-,118060,117959,-
74872,74720,-,77532,77684,+
14169,14026,-,20361,20218,-
7584,7483,-,11241,11140,-
111136,110915,-,134189,133968,-
99986,99870,-,121719,121603,-
49789,49709,-,150456,150536,+
126366,126446,+,150456,150536,+
124537,124439,-,148591,148493,-
51618,51716,+,148591,148493,-
124390,124292,-,148397,148299,-
51765,51863,+,148397,148299,-
123530,123405,-,147387,147262,-
124390,124292,-,53675,53773,+
51765,51863,+,53675,53773,+
79509,79658,+,68234,68085,-
21905,21750,-,28181,28026,-
85119,85018,-,55768,55869,+
58919,59005,+,96977,96891,-
108889,108827,-,131813,131751,-
106912,106838,-,129862,129788,-
44189,44302,+,50867,50980,+
81520,81410,-,59282,59392,+
3550,3467,-,6966,6883,-
203,27,-,179,3,-
3888,4046,+,7160,7318,+
20140,20349,+,26363,26572,+
106580,106768,+,129530,129718,+
113760,113960,+,136818,137018,+
49570,49511,-,150674,150733,+
126585,126644,+,150674,150733,+
11210,11139,-,16493,16422,-
7367,7447,+,11036,11116,+
126723,126649,-,150810,150736,-
49432,49506,+,150810,150736,-
75187,75092,-,77217,77312,+
82115,82300,+,58627,58442,-
92876,93067,+,114280,114471,+
43470,43366,-,50142,50038,-
13643,13545,-,19835,19737,-
105154,105074,-,128077,127997,-
39608,39724,+,45958,46074,+
70306,70136,-,86344,86514,+
73055,73183,+,79523,79395,-
62246,62022,-,93568,93792,+
51862,51647,-,53772,53557,-
124293,124508,+,53772,53557,-
43465,43325,-,50137,49997,-
51862,51647,-,148300,148515,+
124293,124508,+,148300,148515,+
8149,7922,-,11815,11588,-
2374,2445,+,2373,2444,+
58470,58547,+,97430,97353,-
101720,101821,+,123572,123673,+
23312,23235,-,30008,29931,-
8230,8355,+,11896,12021,+
27459,27566,+,33426,33533,+
104995,104933,-,127921,127859,-
4937,5080,+,8297,8440,+
124197,124120,-,53884,53961,+
51958,52035,+,53884,53961,+
71325,71411,+,83867,83781,-
40294,39989,-,46653,46348,-
18040,17936,-,24202,24098,-
136696,136884,+,165903,166091,+
1209,1403,+,1182,1376,+
21709,21816,+,27985,28092,+
106288,106088,-,129238,129038,-
76865,76713,-,73378,73530,+
33682,33521,-,40665,40504,-
15633,15523,-,21810,21700,-
452,285,-,428,261,-
5545,5730,+,9351,9536,+
13261,13380,+,19394,19513,+
124510,124439,-,53508,53579,+
51645,51716,+,53508,53579,+
91913,91815,-,113195,113097,-
71445,71546,+,83747,83646,-
81867,81959,+,58869,58777,-
105245,105481,+,128171,128407,+
28440,28186,-,34407,34153,-
66673,66602,-,91203,91274,+
117283,117134,-,140549,140400,-
26044,25928,-,31989,31873,-
12449,12303,-,18570,18424,-
26476,26616,+,32442,32582,+
34631,34804,+,41715,41888,+
98707,98624,-,120297,120214,-
76141,76338,+,74103,73906,-
117150,117248,+,140416,140514,+
9628,9401,-,13146,12919,-
27267,27410,+,33234,33377,+
113685,113455,-,136743,136513,-
88494,88435,-,110387,110328,-
40740,40654,-,47108,47022,-
123520,123783,+,147380,147643,+
113656,113519,-,136714,136577,-
94187,94092,-,115586,115491,-
81793,81707,-,58952,59038,+
106959,107132,+,129901,130074,+
115115,115249,+,138186,138320,+
64310,64164,-,91894,92040,+
43872,43738,-,50544,50410,-
15477,15400,-,21657,21580,-
7737,7600,-,11397,11260,-
719,618,-,695,594,-
122342,122175,-,145644,145477,-
32084,32185,+,38495,38596,+
61108,61212,+,94715,94611,-
74917,75096,+,77487,77308,-
110355,110269,-,133387,133301,-
66832,66680,-,91041,91193,+
63306,63109,-,92523,92720,+
58546,58469,-,97354,97431,+
38002,37853,-,44125,43976,-
14946,14755,-,21138,20947,-
6638,6805,+,10292,10459,+
67960,67904,-,134880,134824,-
70696,70815,+,85938,85819,-
111374,111514,+,134427,134567,+
113519,113650,+,136577,136708,+
19114,19049,-,25352,25287,-
119969,119880,-,143313,143224,-
21638,21715,+,27913,27990,+
55100,55204,+,102912,102808,-
61419,61649,+,94401,94171,-
46219,46142,-,52872,52795,-
44443,44300,-,51113,50970,-
6829,6918,+,10483,10572,+
119004,118765,-,142249,142010,-
115497,115312,-,138727,138542,-
108410,108267,-,131331,131188,-
94064,93894,-,115481,115311,-
21708,21505,-,27983,27780,-
49571,49509,-,150673,150735,+
126584,126646,+,150673,150735,+
